kategorie,episode,MMM-Forum-Link,wiki_url,Wiki-AT-Link Fixed,AT-Forum-Link (neu),AT-Forum-Link (alt),Longplay-Link
MMM-Episodenführer,Episode 85: Freundin mit Hindernissen - Part 2,http://www.maniac-mansion-mania.de/forum/index.php?topic=1961.0,http://wiki.maniac-mansion-mania.de/wiki/Freundin_mit_Hindernissen_Part_2,,,,https://www.youtube.com/watch?v=KJt8HV1yOfs&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=121
MMM-Episodenführer,Episode 86: Bernard bekommt Besuch,http://www.maniac-mansion-mania.de/forum/index.php?topic=1992.0,http://wiki.maniac-mansion-mania.de/wiki/Bernard_bekommt_Besuch,,,,https://www.youtube.com/watch?v=o0OV8jW2ArA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=122
MMM-Episodenführer,Episode 87: Das Geheimnis des Blakes Hotel von Ronville,http://www.maniac-mansion-mania.de/forum/index.php?topic=2014.0,http://wiki.maniac-mansion-mania.de/wiki/Das_Geheimnis_des_Blakes_Hotel,,,,https://www.youtube.com/watch?v=xQBkBtvO5bw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=123
MMM-Episodenführer,Episode 88: Der alltägliche Wahnsinn,http://www.maniac-mansion-mania.de/forum/index.php?topic=2129.0,http://wiki.maniac-mansion-mania.de/wiki/Der_allt%C3%A4gliche_Wahnsinn,,,,https://www.youtube.com/watch?v=u4z3Yv4Arf8&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=124
MMM-Episodenführer,Episode 89: Der Weltrettungsalgorithmus - Die neue Version,https://www.maniac-mansion-mania.de/forum/index.php?topic=2200.0,http://wiki.maniac-mansion-mania.de/wiki/Der_Weltrettungsalgorithmus,,https://www.adventure-treff.de/forum/topic/20673,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=20673,https://www.youtube.com/watch?v=7aQaNgaZeFM&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=125
MMM-Episodenführer,Episode 90: Kofferpacken,https://www.maniac-mansion-mania.de/forum/index.php?topic=2328.0,http://wiki.maniac-mansion-mania.de/wiki/Kofferpacken,,https://www.adventure-treff.de/forum/topic/21782,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=21782,https://www.youtube.com/watch?v=bCUGkja5sTI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=126
MMM-Episodenführer,Episode 91: Fels in der Brandung,https://www.maniac-mansion-mania.de/forum/index.php?topic=2345.0,http://wiki.maniac-mansion-mania.de/wiki/Fels_in_der_Brandung,,https://www.adventure-treff.de/forum/topic/21953,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=21953,https://www.youtube.com/watch?v=QVEKv-QO64o&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=129
MMM-Episodenführer,Episode 92: Projekt False Start,http://www.maniac-mansion-mania.de/forum/index.php?topic=2367.0,http://wiki.maniac-mansion-mania.de/wiki/Project_False_Start,,,,https://www.youtube.com/watch?v=d7v2CNUq8z8&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=130
MMM-Episodenführer,Episode 93: Murder at the Moonshine Mansion,https://www.maniac-mansion-mania.de/forum/index.php?topic=2373.0,http://wiki.maniac-mansion-mania.de/wiki/Murder_at_the_Moonshine_Mansion,,https://www.adventure-treff.de/forum/topic/22114,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=22114,https://www.youtube.com/watch?v=Kzix7wNcdxA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=131
MMM-Episodenführer,Episode 94: Maniac on the Mississippi,https://www.maniac-mansion-mania.de/forum/index.php?topic=2439.0,http://wiki.maniac-mansion-mania.de/wiki/Maniac_on_the_Mississippi,,https://www.adventure-treff.de/forum/topic/22636,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=22636,https://www.youtube.com/watch?v=dlYt7GmGrrc&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=132
MMM-Episodenführer,Episode 95: Britney's Escape,http://www.maniac-mansion-mania.de/forum/index.php?topic=2251.0,http://wiki.maniac-mansion-mania.de/wiki/Britney's_Flucht,,,,https://www.youtube.com/watch?v=Hi6Oh0PziZs&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=133
MMM-Episodenführer,Episode 96: Dave's Home Odyssey,http://www.maniac-mansion-mania.de/forum/index.php?topic=2573.0,http://wiki.maniac-mansion-mania.de/wiki/Dave's_Home_Odyssey,,,,https://www.youtube.com/watch?v=Din0jBLxSss&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=136
MMM-Episodenführer,Episode 97: Tollhaus Weihnachten,http://www.maniac-mansion-mania.de/forum/index.php?topic=2586.0,http://wiki.maniac-mansion-mania.de/wiki/Tollhaus_Weihnachten,,,,https://www.youtube.com/watch?v=_Vtaxnjl8EQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=137
MMM-Episodenführer,Episode 98: Maniac Apartment,http://www.maniac-mansion-mania.de/forum/index.php?topic=2597,http://wiki.maniac-mansion-mania.de/wiki/Maniac_Apartment,,,,https://www.youtube.com/watch?v=lbVn9PHj_ts&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=138
MMM-Episodenführer,Episode 99: Die Premiere,https://www.maniac-mansion-mania.de/forum/index.php?topic=2598.0,http://wiki.maniac-mansion-mania.de/wiki/Die_Premiere,,,,https://www.youtube.com/watch?v=h9zA4iu10Lk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=140
MMM-Episodenführer,Episode 100: Money Mansion,https://www.maniac-mansion-mania.de/forum/index.php?topic=2653,http://wiki.maniac-mansion-mania.de/wiki/Money_Mansion,,,,https://www.youtube.com/watch?v=_5u8kOAXobg&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=141
MMM-Episodenführer,Episode 101: Mit anderen Augen,https://www.maniac-mansion-mania.de/forum/index.php?topic=2736.0,http://wiki.maniac-mansion-mania.de/wiki/Mit_anderen_Augen,,,,https://www.youtube.com/watch?v=FmFZMhUqz0o&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=143
MMM-Episodenführer,Episode 102: Michaels Nacht,https://www.maniac-mansion-mania.de/forum/index.php?topic=2835.0,,,,,https://www.youtube.com/watch?v=XCRXqR2PdCU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=144
Mini Episoden,Mini Masterpieces,,,,,,
